Interaction ID,Interaction Type,Date Received,Date Resolved,Category,Resolution Time (Days),SLA Threshold (Days),Within SLA
1515,Calls,8/26/2021,8/28/2021,Debit Card Issue,2,5,No
7600,Calls,9/14/2021,9/16/2021,Debit Card Issue,2,5,No
2425,Calls,5/2/2023,5/4/2023,Account Question,2,5,No
7542,Calls,10/3/2021,10/6/2021,Fraud Alert,3,5,No
2344,Calls,7/2/2023,7/3/2023,Debit Card Issue,1,5,Yes
7490,Calls,2/1/2022,2/4/2022,Account Question,3,5,No
6350,Calls,10/13/2022,10/14/2022,Mobile App Issue,1,5,Yes
5694,Calls,3/29/2021,4/1/2021,Debit Card Issue,3,5,No
6681,Calls,12/19/2022,12/22/2022,Open Account,3,5,No
7900,Calls,10/15/2021,10/17/2021,Fraud Alert,2,5,No
6121,Calls,1/30/2023,2/2/2023,Account Question,3,5,No
4769,Calls,1/15/2022,1/17/2022,Fraud Alert,2,5,No
5871,Calls,6/8/2021,6/11/2021,Mobile App Issue,3,5,No
2098,Calls,7/12/2022,7/19/2022,General Complaint,7,5,No
6398,Calls,5/22/2022,5/28/2022,Debit Card Issue,6,5,No
1661,Calls,8/17/2023,8/20/2023,Debit Card Issue,3,5,No
9731,Calls,11/6/2022,11/8/2022,Open Account,2,5,No
9557,Calls,7/26/2022,7/27/2022,Close Account,1,5,Yes
9468,Calls,11/6/2023,11/11/2023,Debit Card Issue,5,5,No
8635,Calls,10/27/2023,10/28/2023,Debit Card Issue,1,5,Yes
2145,Calls,2/22/2023,3/1/2023,General Complaint,7,5,No
2336,Calls,11/15/2021,11/16/2021,Account Question,1,5,Yes
8370,Calls,2/7/2022,2/9/2022,Account Question,2,5,No
8289,Calls,5/1/2021,5/6/2021,General Complaint,5,5,No
6809,Calls,7/18/2021,7/21/2021,Mobile App Issue,3,5,No
1025,Calls,3/6/2022,3/8/2022,Fraud Alert,2,5,No
1191,Calls,10/29/2023,11/1/2023,Fraud Alert,3,5,No
7960,Calls,1/29/2021,2/1/2021,General Complaint,3,5,No
7505,Calls,2/4/2021,2/12/2021,Debit Card Issue,8,5,No
7884,Calls,9/11/2022,9/12/2022,Mobile App Issue,1,5,Yes
8314,Calls,10/29/2023,11/1/2023,Open Account,3,5,No
6035,Calls,4/30/2021,5/1/2021,Close Account,1,5,Yes
1875,Calls,7/18/2023,7/20/2023,Debit Card Issue,2,5,No
7848,Calls,4/30/2023,5/3/2023,Debit Card Issue,3,5,No
9842,Calls,5/29/2021,5/30/2021,General Complaint,1,5,Yes
9035,Calls,7/6/2023,7/7/2023,Close Account,1,5,Yes
4504,Calls,10/15/2021,10/18/2021,Open Account,3,5,No
2619,Calls,8/16/2023,8/17/2023,Account Question,1,5,Yes
1111,Calls,7/2/2021,7/4/2021,Open Account,2,5,No
4936,Calls,4/28/2023,4/29/2023,Debit Card Issue,1,5,Yes
9498,Calls,11/24/2022,11/27/2022,Mobile App Issue,3,5,No
2193,Calls,3/6/2023,3/9/2023,Fraud Alert,3,5,No
9648,Calls,12/28/2021,12/30/2021,General Complaint,2,5,No
2853,Calls,4/28/2021,5/1/2021,Debit Card Issue,3,5,No
8163,Calls,1/2/2022,1/3/2022,Account Question,1,5,Yes
1112,Calls,6/14/2022,6/21/2022,Close Account,7,5,No
7643,Calls,5/10/2022,5/12/2022,Open Account,2,5,No
1767,Calls,12/6/2022,12/14/2022,Mobile App Issue,8,5,No
5021,Calls,2/19/2022,2/22/2022,Account Question,3,5,No
6006,Calls,6/21/2023,6/29/2023,Debit Card Issue,8,5,No
9118,Calls,6/22/2021,6/25/2021,Open Account,3,5,No
5885,Calls,4/8/2023,4/10/2023,Debit Card Issue,2,5,No
7994,Calls,11/12/2021,11/20/2021,Close Account,8,5,No
9614,Calls,8/18/2021,8/22/2021,Fraud Alert,4,5,No
6166,Calls,10/27/2022,10/30/2022,Mobile App Issue,3,5,No
1451,Calls,4/15/2023,4/18/2023,Close Account,3,5,No
2157,Calls,9/13/2021,9/14/2021,General Complaint,1,5,Yes
5760,Calls,5/7/2023,5/10/2023,Close Account,3,5,No
9729,Calls,7/8/2022,7/10/2022,Close Account,2,5,No
4400,Calls,6/7/2023,6/9/2023,Close Account,2,5,No
2725,Calls,1/10/2023,1/14/2023,General Complaint,4,5,No
1808,Calls,9/6/2022,9/8/2022,General Complaint,2,5,No
8402,Calls,6/30/2021,7/1/2021,Account Question,1,5,Yes
1133,Calls,8/15/2022,8/18/2022,Open Account,3,5,No
5969,Calls,3/22/2022,3/24/2022,Mobile App Issue,2,5,No
7790,Calls,11/3/2022,11/5/2022,Mobile App Issue,2,5,No
5234,Calls,8/12/2022,8/14/2022,General Complaint,2,5,No
7832,Calls,3/9/2021,3/11/2021,General Complaint,2,5,No
4204,Calls,12/8/2021,12/15/2021,Mobile App Issue,7,5,No
9651,Calls,7/23/2023,7/27/2023,Open Account,4,5,No
6660,Calls,8/30/2021,9/2/2021,Mobile App Issue,3,5,No
9985,Calls,9/1/2022,9/3/2022,Close Account,2,5,No
1497,Calls,12/9/2021,12/13/2021,Open Account,4,5,No
5490,Calls,11/15/2022,11/18/2022,Close Account,3,5,No
2717,Calls,1/31/2021,2/5/2021,Account Question,5,5,No
8869,Calls,5/8/2022,5/11/2022,Debit Card Issue,3,5,No
9427,Calls,4/18/2022,4/19/2022,Open Account,1,5,Yes
4856,Calls,1/12/2021,1/16/2021,Fraud Alert,4,5,No
5459,Calls,8/26/2023,8/27/2023,Debit Card Issue,1,5,Yes
1634,Calls,3/23/2021,3/24/2021,Mobile App Issue,1,5,Yes
7931,Calls,12/21/2022,12/22/2022,General Complaint,1,5,Yes
9680,Calls,4/21/2022,4/27/2022,Close Account,6,5,No
2317,Calls,11/29/2022,12/2/2022,Mobile App Issue,3,5,No
9803,Calls,1/5/2021,1/7/2021,Open Account,2,5,No
5112,Calls,11/9/2021,11/10/2021,Debit Card Issue,1,5,Yes
6388,Calls,2/11/2021,2/14/2021,Mobile App Issue,3,5,No
1444,Calls,9/7/2022,9/10/2022,Close Account,3,5,No
9587,Calls,2/2/2023,2/5/2023,Mobile App Issue,3,5,No
5317,Calls,7/26/2022,7/29/2022,Account Question,3,5,No
5566,Calls,9/21/2023,9/26/2023,Open Account,5,5,No
4457,Calls,2/17/2023,2/19/2023,Open Account,2,5,No
2609,Calls,4/2/2023,4/3/2023,General Complaint,1,5,Yes
8915,Calls,6/15/2021,6/16/2021,Mobile App Issue,1,5,Yes
5903,Calls,12/18/2021,12/21/2021,Open Account,3,5,No
6685,Calls,3/16/2023,3/17/2023,Close Account,1,5,Yes
9380,Calls,7/24/2021,7/27/2021,Account Question,3,5,No
1410,Calls,4/13/2023,4/19/2023,Mobile App Issue,6,5,No
2837,Calls,12/22/2022,12/26/2022,Open Account,4,5,No
4138,Calls,8/7/2023,8/10/2023,General Complaint,3,5,No
5648,Calls,12/30/2022,1/5/2023,Close Account,6,5,No
1955,Calls,5/20/2021,5/22/2021,Fraud Alert,2,5,No
4878,Calls,1/27/2022,2/6/2022,Close Account,10,5,No
2418,Calls,1/14/2021,1/17/2021,Fraud Alert,3,5,No
8228,Calls,5/17/2021,5/19/2021,Open Account,2,5,No
7179,Calls,3/4/2022,3/6/2022,Account Question,2,5,No
3152,Calls,12/12/2023,12/17/2023,Open Account,5,5,No
4145,Calls,12/19/2022,12/22/2022,Open Account,3,5,No
4460,Calls,12/16/2023,12/17/2023,Account Question,1,5,Yes
8673,Calls,10/19/2021,10/24/2021,Fraud Alert,5,5,No
7773,Calls,11/19/2023,11/20/2023,Open Account,1,5,Yes
8064,Calls,12/19/2023,12/20/2023,Fraud Alert,1,5,Yes
1821,Calls,2/10/2021,2/11/2021,Open Account,1,5,Yes
6161,Calls,3/4/2021,3/6/2021,General Complaint,2,5,No
4578,Calls,3/22/2023,3/24/2023,Close Account,2,5,No
5590,Calls,4/24/2022,4/27/2022,Mobile App Issue,3,5,No
1144,Calls,4/25/2022,4/26/2022,General Complaint,1,5,Yes
3716,Calls,8/29/2023,8/30/2023,Mobile App Issue,1,5,Yes
7191,Calls,8/1/2022,8/3/2022,Debit Card Issue,2,5,No
6735,Calls,3/16/2023,3/19/2023,General Complaint,3,5,No
2173,Calls,2/16/2021,2/18/2021,Close Account,2,5,No
1645,Calls,4/21/2023,4/22/2023,Close Account,1,5,Yes
3253,Calls,2/9/2022,2/12/2022,Open Account,3,5,No
8762,Calls,2/18/2022,2/25/2022,General Complaint,7,5,No
7797,Calls,9/27/2023,9/28/2023,Account Question,1,5,Yes
9686,Calls,11/13/2023,11/14/2023,Debit Card Issue,1,5,Yes
3403,Calls,8/9/2021,8/10/2021,Close Account,1,5,Yes
2678,Calls,2/25/2022,2/28/2022,Fraud Alert,3,5,No
5626,Calls,2/10/2022,2/13/2022,Mobile App Issue,3,5,No
6886,Calls,7/9/2022,7/13/2022,Mobile App Issue,4,5,No
7617,Calls,3/3/2022,3/6/2022,General Complaint,3,5,No
9001,Calls,5/31/2021,6/3/2021,Open Account,3,5,No
7754,Calls,6/21/2023,6/26/2023,Fraud Alert,5,5,No
4024,Calls,8/26/2023,8/27/2023,General Complaint,1,5,Yes
1824,Calls,8/9/2021,8/11/2021,Mobile App Issue,2,5,No
7412,Calls,9/13/2021,9/15/2021,Mobile App Issue,2,5,No
8808,Calls,9/22/2022,9/25/2022,General Complaint,3,5,No
3145,Calls,2/7/2022,2/8/2022,Close Account,1,5,Yes
9130,Calls,10/5/2021,10/8/2021,Account Question,3,5,No
6211,Calls,11/16/2022,11/22/2022,General Complaint,6,5,No
3562,Calls,2/27/2023,2/28/2023,Open Account,1,5,Yes
8346,Calls,11/17/2021,11/19/2021,Fraud Alert,2,5,No
8653,Calls,7/3/2022,7/5/2022,Open Account,2,5,No
5061,Calls,10/4/2023,10/7/2023,Debit Card Issue,3,5,No
7563,Calls,5/17/2023,5/19/2023,Account Question,2,5,No
2101,Calls,12/7/2022,12/11/2022,Open Account,4,5,No
3167,Calls,12/17/2022,12/19/2022,Close Account,2,5,No
4319,Calls,11/17/2023,11/20/2023,Debit Card Issue,3,5,No
1738,Calls,7/13/2021,7/15/2021,Close Account,2,5,No
3908,Calls,6/19/2023,6/28/2023,Close Account,9,5,No
7634,Calls,1/25/2023,1/28/2023,Fraud Alert,3,5,No
